CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
UDRI01101A,UD,G. Ceconi,Istituto Professionale Industria e Artigianato
UDMM813017,UD,D. Alighieri - San Pietro Al N.,Scuola Primo Grado
TSMM812019,TS,Codermatz,Scuola Primo Grado
UDMM81101G,UD,C.Cavour - Sec. 1? Gr Palazzolo,Scuola Primo Grado
PNAA80902C,PN,Sesto Al Reghena-ramuscello,Scuola Infanzia
UDRI04050P,UD,SEZIONE SERALE IPSIA CECONI UDINE,IST PROF INDUSTRIA E ARTIGIANATO
TSEE81501T,TS,E. Morpurgo,Scuola Primaria
PNIS01100P,PN,Licei Le Filandiere,Istituto Superiore
UDAA851063,UD,Monumento ai Caduti,Scuola Infanzia
UDAA84604D,UD, Pimpa  Aquileia,Scuola Infanzia
UDEE82903X,UD,Fraz. Adegliacco,Scuola Primaria
UDEE85405P,UD,Verzegnis,Scuola Primaria
UDAA833018,UD,Palmanova/ialmicco,Scuola Infanzia
GOMM04000N,GO,CPIA 1 GORIZIA,SCUOLA PRIMO GRADO
UDEE81303A,UD,San Pietro Al Natisone,Scuola Primaria
TSAA812026,TS,Fabio Filzi-attilio Grego,Scuola Infanzia
UDMM83702R,UD,G. Guareschi,Scuola Primo Grado
PNPS011015,PN,Lic.Scientif. Le Filandiere,Liceo Scientifico
UDPS012011,UD,Liceo Sc. San Daniele,Liceo Scientifico
UDMM70201X,UD,CASA CIRCONDARIALE,SCUOLA PRIMO GRADO
UDEE851024,UD,Vittorio Alfieri,Scuola Primaria
UDAA834025,UD,Scuola dell'infanzia Savogna,Scuola Infanzia
UDAA84601A,UD,Riccardo Michieli Fiumicello,Scuola Infanzia
UDMM85401D,UD,G.F.Da Tolmezzo - Tolmezzo,Scuola Primo Grado
TSEE81603Q,TS,I.Grbec - L.Ins.Slovena,Scuola Primaria
GOMM813019,GO,Graziadio Isaia Ascoli,Scuola Primo Grado
UDEE81304B,UD,San Leonardo,Scuola Primaria
UDMM81103N,UD,Vespucci - Marano Lag.,Scuola Primo Grado
UDMM819038,UD,A. Mistruzzi - Basiliano,Scuola Primo Grado
UDIC84000E,UD,Giovanni Xxiii - Tarvisio,Istituto Comprensivo
TSAA813011,TS,Miela Reina,Scuola Infanzia
PNMM80903N,PN,Via Bassa Cordovado,Scuola Primo Grado
UDEE83703V,UD,F. Corridoni,Scuola Primaria
UDIS01200E,UD,Is V. Manzini,Istituto Superiore
UDIC855008,UD,Pozzuolo del Friuli,Istituto Comprensivo
UDMM021006,UD,P. DIACONO - CIVIDALE DEL FR.,SCUOLA PRIMO GRADO
TSAA81603E,TS,Di San Giacomo - L.Ins.Slovena,Scuola Infanzia
UDEE83301D,UD,Palmanova,Scuola Primaria
UDIC851001,UD,Cividale del Friuli,Istituto Comprensivo
GOEE81302B,GO,Francesco Rismondo,Scuola Primaria
UDIC84600D,UD,Don Lorenzo Milani - Aquileia,Istituto Comprensivo
UDAA85103X,UD,Antony David Liberale Rualis,Scuola Infanzia
