CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
UDAA83801B,UD,Lestizza/galleriano,Scuola Infanzia
PNTF00701G,PN,Istituto Tecnico Meccanica Meccatronica,Istituto Tecnico Industriale
PNCT70100R,PN,Centro Territoriale Pordenone,Centro Territoriale
GOAA81003Q,GO,Giovanni Clocchiatti,Scuola Infanzia
UDMM84401V,UD,Ellero - Udine,Scuola Primo Grado
TSAA820047,TS,Palcica - L.Ins.Slovena,Scuola Infanzia
PNEE830023,PN,Pn-vallenoncello L.Da Vinci,Scuola Primaria
UDAA85205T,UD,Dignano,Scuola Infanzia
PNMM82301T,PN,Sms Roveredo,Scuola Primo Grado
TSIC80800L,TS,Ist. Compr. Dante Alighieri,Istituto Comprensivo
UDAA80902C,UD,Forni Avoltri,Scuola Infanzia
GOAA81001N,GO,G. Boemo,Scuola Infanzia
PNTD00601D,PN,I.T. E. Amm. G. Marchesini,Istituto Tecnico Commerciale
PNCT705004,PN,Centro Territoriale Prata,Centro Territoriale
UDAA85410Q,UD,Zuglio/formeaso,Scuola Infanzia
PNMM830011,PN,Terzo Drusin,Scuola Primo Grado
UDEE849013,UD,G.B. Candotti  Codroipo,Scuola Primaria
UDAA84503L,UD,F. Andrea Nicoloso - Osoppo,Scuola Infanzia
TSEE80802Q,TS,N. Sauro,Scuola Primaria
UDEE83802N,UD,Talmassons,Scuola Primaria
UDEE84502R,UD,Alessandro Manzoni - Bordano,Scuola Primaria
PNIC82300R,PN,Ic Roveredo In P.Giov.Cadelli,Istituto Comprensivo
PNCT704008,PN,Centro Territ. San Vito Al Tagliamento,Centro Territoriale
UDTL01050X,UD,SEZIONE SERALE ITG MARINONI UDINE,ISTITUTO TECNICO PER GEOMETRI
PNTN007017,PN,I.T.Per Il Turismo Sarpi San Vito,Istituto Tecnico per il Turismo
UDAA80907N,UD,Scuola Materna Sappada,Scuola Infanzia
UDMM849023,UD,Sms I. Svevo - Varmo,Scuola Primo Grado
UDMM84501P,UD,Secondaria di I Grado - Osoppo,Scuola Primo Grado
UDAA84501E,UD,Papa Giovanni Xxiii - Bordano,Scuola Infanzia
PNAA83002T,PN,Pordenone-vallenoncello,Scuola Infanzia
UDEE85202X,UD,G. Fontanini - Villanova,Scuola Primaria
TSAA80902A,TS,Duca D'aosta,Scuola Infanzia
UDMM83801G,UD,I. Nievo - Talmassons,Scuola Primo Grado
UDEE85401E,UD,Betania,Scuola Primaria
UDEE84001L,UD,Dante Alighieri,Scuola Primaria
PNCT70200L,PN,Centro Territoriale Sacile,Centro Territoriale
UDAA80904E,UD,Prato Carn./sostasio,Scuola Infanzia
GOMM81001T,GO,Perco,Scuola Primo Grado
PNEE821028,PN,Casarsa-s.Giovanni G. Marconi,Scuola Primaria
PNTD007019,PN,Istituto Tecnico Economico P.Sarpi,Istituto Tecnico Commerciale
UDMM84503R,UD,Secondaria di I Grado Venzone,Scuola Primo Grado
PNAA83001R,PN,Pordenone-via Mantegna,Scuola Infanzia
GOEE810042,GO,G.Ferretti,Scuola Primaria
PNMM82001A,PN,Erasmo Da Valvason,Scuola Primo Grado
UDEE849035,UD,Ippolito Nievo-varmo,Scuola Primaria
TSEE80901E,TS,S. Slataper,Scuola Primaria
UDEE84007V,UD,Pontebba,Scuola Primaria
UDMM84505V,UD,G. Ermolli - Moggio Udinese,Scuola Primo Grado
UDMM82001A,UD,Giovanni Xxiii - Tricesimo,Scuola Primo Grado
PNMM164001,PN,CPIA 1 PORDENONE,SCUOLA PRIMO GRADO
UDEE85406Q,UD,Scuola Elementare Imponzo,Scuola Primaria
UDEE830012,UD,Olinto Marinelli,Scuola Primaria
TSPM02000T,TS,A.M. Slomsek-l.Ins.Slovena,Istituto Magistrale
PNAA83003V,PN,Pn-villanova Via Ada Negri,Scuola Infanzia
UDVC01000C,UD,Convitto Nazionale P. Diacono,Convitto Nazionale
UDEE849046,UD,Risultive Bertiolo,Scuola Primaria
GOIS00400N,GO,Isis I. Cankar (lingua Slovena),Istituto Superiore
UDMM84504T,UD,Secondaria di I Grado Resia,Scuola Primo Grado
TSMM80901D,TS,Antonio Bergamas,Scuola Primo Grado
GOEE80005C,GO,Vittorino Da Feltre,Scuola Primaria
UDEE84504V,UD,Resia,Scuola Primaria
UDAA84901T,UD,Codroipo/v.Circonvallazione Sud,Scuola Infanzia
PNEE827016,PN,Cordenons-capol. Duca D'aosta,Scuola Primaria
PNEE701015,PN,SCUOLA CARCERARIA,SCUOLA PRIMARIA
PNMM821016,PN,Casarsa - Enrico Fermi,Scuola Primo Grado
UDTL01000E,UD,Itg G.G. Marinoni Udine,Istituto Tecnico per Geometri
UDEE84501Q,UD,Dante Alighieri - Osoppo,Scuola Primaria
TSEE80903L,TS,Duca D'aosta,Scuola Primaria
UDEE84505X,UD,Alessandro Volta - Alesso,Scuola Primaria
UDAA82201T,UD,Sc.Inf.Princ.Mafalda di Savoia,Scuola Infanzia
PNMM83101R,PN,Giuseppe Lozer,Scuola Primo Grado
GOEE800018,GO,Giovanni Torre,Scuola Primaria
UDEE81205L,UD,Paluzza,Scuola Primaria
GOAA800057,GO,Via Mameli di Moraro,Scuola Infanzia
PNEE821017,PN,Casarsa-cap.L.Da Vinci,Scuola Primaria
TSRI00251V,TS,NAUTICO T. DI SAVOIA DUCA DI GENOVA,IST PROF INDUSTRIA E ARTIGIANATO
PNRC00801T,PN,Istituto Istruzione Superiore F. Flora,Istituto Professionale per i Servizi Commerciali e Turistici
GOTF004016,GO,Jurij Vega - Lingua Slovena,Istituto Tecnico Industriale
UDEE845061,UD,Antonio Bidernuccio - Venzone,Scuola Primaria
PNIC83100Q,PN,Ic Pordenone - Torre,Istituto Comprensivo
UDVC03000N,UD,CONV. ANN. LIC. SC. TARVISIO,CONVITTO ANNESSO
UDAA83001R,UD,G.Grasso e F.Grasselli Ciseriis,Scuola Infanzia
PNIC82800X,PN,Ic Maniago Margherita Hack,Istituto Comprensivo
TSEE819026,TS,K.Strekelj-j.Jurcic - L.Ins.Slo,Scuola Primaria
UDAA84504N,UD,Grisulute - Avasinis,Scuola Infanzia
UDEE849024,UD,Anna Fabriscodroipo,Scuola Primaria
PNTN008013,PN,Istituto Istruzione Superiore F. Flora,Istituto Tecnico per il Turismo
PNMM822023,PN,Sms Giacomo Zanella Porcia,Scuola Primo Grado
GOIC800006,GO,Pascoli Giovanni,Istituto Comprensivo
UDVC020003,UD,S. SABBATINI,CONVITTO ANNESSO
TSTH002528,TS,NAUTICO T. DI SAVOIA DUCA DI GENOVA,ISTITUTO TECNICO NAUTICO
GORC00401L,GO,I.Cankar (lingua Slovena),Istituto Professionale per i Servizi Commerciali
UDAA83003V,UD,Tarcento/segnacco,Scuola Infanzia
UDEE822035,UD,A. Manzoni - Pocenia,Scuola Primaria
UDIC82300R,UD,Val Tagliamento - Ampezzo,Istituto Comprensivo
UDIC81500T,UD,Majano e Forgaria,Istituto Comprensivo
PNAA827022,PN,Cordenons-nogaredo G. Rodari,Scuola Infanzia
GOAA800013,GO,Monsignor Pietro Cocolin,Scuola Infanzia
PNIC821005,PN,Ic Casarsa Deliz.P.P.Pasolini,Istituto Comprensivo
UDMM81203D,UD,Via Roma - Arta Terme,Scuola Primo Grado
TSRI00201D,TS,Nautico T. di Savoia - L. Galvani,Istituto Professionale Industria e Artigianato
PNTF009017,PN,I.T.I. Moda Zanussi,Istituto Tecnico Industriale
GOTA00650D,GO,ISTITUTO AGRARIO SERALE,ISTITUTO TECNICO AGRARIO
UDEE822013,UD,A. Manzoni - Rivignano,Scuola Primaria
TSAA81901X,TS,Di Aurisina - L.Ins.Slovena,Scuola Infanzia
UDEE823086,UD,Lauco,Scuola Primaria
UDEE830034,UD,Enrico Fermi-magnano In Riviera,Scuola Primaria
PNEE828045,PN,Vivaro S.Domenico Savio,Scuola Primaria
PNEE81206N,PN,Vajont Vittorino Da Feltre,Scuola Primaria
GOEE80003A,GO,Alessandro Manzoni,Scuola Primaria
UDVE01000B,UD,Uccellis,Educandato
TSTH00201T,TS,Nautico T. di Savoia Duca di Genova,Istituto Tecnico Nautico
UDEE81204G,UD,Timau-cleulis,Scuola Primaria
PNIS00900P,PN,I.S.I.S. L. Zanussi,Istituto Superiore
GOTA006015,GO,Ita Giovanni Brignoli,Istituto Tecnico Agrario
UDEE830056,UD,V. Da Feltre Nimis,Scuola Primaria
UDEE82005G,UD,G.B. Corgnali - Reana,Scuola Primaria
PNAA82802T,PN,Maniago-campagna Giov. Xxiii,Scuola Infanzia
TSAA819021,TS,Di Duino - L.Ins.Slovena,Scuola Infanzia
UDAA85408L,UD,Tolmezzo/ Terzo,Scuola Infanzia
UDMM81502X,UD,Via Val - Forgaria,Scuola Primo Grado
UDRC013019,UD,Enrico Mattei,Istituto Professionale per i Servizi Commerciali
PNPC011012,PN,Lic.Classico Le Filandiere,Liceo Classico
TSEE80403D,TS,E. Zamola,Scuola Primaria
UDAA81205B,UD,Sutrio,Scuola Infanzia
UDAA820038,UD,M.C.C. Astaldi-tricesimo,Scuola Infanzia
UDEE81501X,UD,Majano - I. Nievo,Scuola Primaria
TSEE819037,TS,S.Gruden - L.Ins.Slovena,Scuola Primaria
PNAA812039,PN,Montereale Valcellina -cap.,Scuola Infanzia
GOTD006511,GO,"I.T.C.""EINAUDI""-SERALE",ISTITUTO TECNICO COMMERCIALE
UDAA85409N,UD,Cavazzo Carnico,Scuola Infanzia
UDTF01302X,UD,Arturo Malignani,Istituto Tecnico Industriale
TSEE814023,TS,U. Saba,Scuola Primaria
TSEE80301G,TS,V. Giotti,Scuola Primaria
PNTN00401Q,PN,Via degli Alpini 1,Istituto Tecnico per il Turismo
UDEE81208Q,UD,Arta Terme,Scuola Primaria
PNRI00901A,PN,Ipsia L. Zanussi,Istituto Professionale Industria e Artigianato
GOTD00601G,GO,L. Einaudi,Istituto Tecnico Commerciale
UDAA830062,UD,Taipana,Scuola Infanzia
UDMM85502A,UD,Sms G.Marconi - Pozzuolo del Fr,Scuola Primo Grado
TSMM819014,TS,I.Gruden-l.Ins.Slovena,Scuola Primo Grado
UDEE85404N,UD,G. Muner- Caneva di Tolmezzo,Scuola Primaria
TSMM814011,TS,Addobbati - Brunner,Scuola Primo Grado
UDEE848028,UD,Molinari Pietra,Scuola Primaria
PNAA81205B,PN,Vajont,Scuola Infanzia
UDMM821027,UD,C. Deganutti - Ruda,Scuola Primo Grado
UDMM81501V,UD,L. Andervolti - Majano,Scuola Primo Grado
TSMM805016,TS,Corsi G.,Scuola Primo Grado
PNIS00300Q,PN,Is E. Torricelli,Istituto Superiore
TSMM80401A,TS,Nazario Sauro,Scuola Primo Grado
UDTF01301V,UD,Arturo Malignani,Istituto Tecnico Industriale
UDEE85503C,UD,Div. Alpina Juliabasaldella,Scuola Primaria
UDEE83901C,UD,Castions di Strada,Scuola Primaria
UDAA820049,UD,Santa Tissini -reana del Rojale,Scuola Infanzia
UDEE84804A,UD,Via Rossini Tempo Pieno,Scuola Primaria
UDAA85406E,UD,Scuola Materna Amaro,Scuola Infanzia
TSMM818018,TS,S. Kosovel-l.Ins.Slovena,Scuola Primo Grado
GOPS00101L,GO,Duca degli Abruzzi,Liceo Scientifico
GOAA813048,GO,Via Garzarolli,Scuola Infanzia
PNMM81201B,PN,Giovanni Xxiii,Scuola Primo Grado
UDAA81502Q,UD,Forgaria- Cornino,Scuola Infanzia
UDAA821034,UD,Tapogliano,Scuola Infanzia
UDTD01301L,UD,Luigi Einaudi,Istituto Tecnico Commerciale
TSAA81401R,TS,Di Barcola,Scuola Infanzia
UDIC81200A,UD,Jacopo Linussio - Angelo Matiz,Istituto Comprensivo
TSAA805012,TS,Ruggero Manna,Scuola Infanzia
UDEE84101C,UD,Enrico Fruch,Scuola Primaria
TSAA804016,TS,Borgolauro,Scuola Infanzia
PNAA834047,PN,Sacile-via Ettoreom.Meneghini,Scuola Infanzia
UDAA855026,UD,C. Collodi,Scuola Infanzia
UDAA839017,UD,Mortegliano,Scuola Infanzia
TSEE81802A,TS,P.Trubar - L.Ins.Slovena,Scuola Primaria
PNEE81205L,PN,Claut G. Marconi,Scuola Primaria
UDMM85302P,UD,G.D'artegna - Artegna,Scuola Primo Grado
GOPM00101N,GO,Scipio Slataper,Istituto Magistrale
TSEE814034,TS,E.Tarabochia,Scuola Primaria
UDAA848023,UD,Manzano/ Case,Scuola Infanzia
TSEE805017,TS,R. Manna,Scuola Primaria
TSAA804027,TS,Il Biancospino,Scuola Infanzia
UDAA84105B,UD,Archimede Taverna,Scuola Infanzia
PNIC834007,PN,Ic Sacile,Istituto Comprensivo
PNEE82401P,PN,Prata-cap. Ippolito Nievo,Scuola Primaria
UDEE83303G,UD,Trivignano Udinese,Scuola Primaria
UDTD01401C,UD,ISTITUTO TECNICO CASA CIRCONDARIALE,ISTITUTO TECNICO COMMERCIALE
UDEE85501A,UD,Xxx Ottobrepozzuolo del Fr.,Scuola Primaria
UDIC83900A,UD,Mortegliano-castions di Strada,Istituto Comprensivo
UDEE85303R,UD,Piovega,Scuola Primaria
UDAA848045,UD,Manzano/s.Lorenzo,Scuola Infanzia
GOIS002002,GO,Simon Gregorcic (l.Slovena),Istituto Superiore
TSMM81501R,TS,Lionello Stock,Scuola Primo Grado
GOEE80302R,GO,E. Toti,Scuola Primaria
TSAA818069,TS,A. Fakin - L.Ins.Slovena,Scuola Infanzia
UDEE815021,UD,Edmondo De Amicis,Scuola Primaria
TSIC805005,TS,Ist. Compr. Via Commerciale,Istituto Comprensivo
PNEE83101T,PN,Pn-torreodorico Da Pordenone,Scuola Primaria
UDEE84105L,UD,Gianni Rodari,Scuola Primaria
GOIS00300T,GO,Isis R.M. Cossar-l. Da Vinci,Istituto Superiore
TSAA804038,TS,Il Giardino dei Mestieri,Scuola Infanzia
UDRI013012,UD,Arturo Malignani,Istituto Professionale Industria e Artigianato
TSAA806052,TS,Di Prosecco,Scuola Infanzia
UDEE856016,UD,Enrico Fruch - Pasian di Prato,Scuola Primaria
UDEE83903E,UD,Lavariano,Scuola Primaria
PNEE83402A,PN,Sacile-s.G. Tempioe.De Amicis,Scuola Primaria
UDTD010004,UD,Itc A. Zanon  Udine,Istituto Tecnico Commerciale
PNAA812017,PN,Erto Casso,Scuola Infanzia
GOIS001006,GO,Is Dante Alighieri,Istituto Superiore
UDEE82604D,UD,Giuseppe Ellero - Pradamano,Scuola Primaria
GOAA80302G,GO,Via Tartini,Scuola Infanzia
TSEE81805D,TS,A.Sirk - L.Ins.Slovena,Scuola Primaria
TSIC81400X,TS,Ist. Compr. Roiano Gretta,Istituto Comprensivo
GORC00301R,GO,R.M. Cossar - Gorizia,Istituto Professionale per i Servizi Commerciali
UDMM848016,UD,Divisione Julia Manzano,Scuola Primo Grado
TSIC804009,TS,Ist. Compr. Giovanni Lucio,Istituto Comprensivo
UDAA841017,UD,Giacomo Centazzo,Scuola Infanzia
PNEE83405D,PN,Sacile Grazia Deledda,Scuola Primaria
UDMM855019,UD,Sms G. Marchetti - Campoformido,Scuola Primo Grado
UDMM83902C,UD,U. Pellis - Castions,Scuola Primo Grado
PNMM82401N,PN,Sms G. Ungaretti,Scuola Primo Grado
UDAA83304B,UD,Visco,Scuola Infanzia
GOIC806005,GO,Istituto Comprens. Livio Verni,Istituto Comprensivo
UDIC85300L,UD,Gemona del Friuli,Istituto Comprensivo
TSTF003016,TS,J. Stefan-l.Ins.Slovena,Istituto Tecnico Industriale
GOIC80300N,GO,Giacich Ezio,Istituto Comprensivo
UDEE84806C,UD,San Giovanni,Scuola Primaria
UDAA85305N,UD,Via Piovega,Scuola Infanzia
UDAA842035,UD,Udine-a. Pick,Scuola Infanzia
TSEE818019,TS,F.Bevk - L.Ins.Slovena,Scuola Primaria
PNEE83102V,PN,Pordenone-via Fonda G.Narvesa,Scuola Primaria
UDAA842057,UD,Via Laipacco,Scuola Infanzia
TSEE80402C,TS,A. Loreti,Scuola Primaria
PNIC82400L,PN,Ic Prata di Porden.F.Da Prata,Istituto Comprensivo
PNAA82803V,PN,Maniago - Fratta,Scuola Infanzia
UDEE83902D,UD,Mortegliano- Via L. Da Vinci,Scuola Primaria
UDAA854019,UD,Tolmezzo/v. della Vittoria,Scuola Infanzia
TSAA80602V,TS,Silvio Rutteri,Scuola Infanzia
UDIC83300B,UD,Palmanova,Istituto Comprensivo
GOPM00201D,GO,Simon Gregorcic (l.Slovena),Istituto Magistrale
PNAA834025,PN,Sacile - Cornadella Archimede,Scuola Infanzia
GOEE80501B,GO,L. Brumati,Scuola Primaria
UDMM82603B,UD,Ippolito Nievo - Pradamano,Scuola Primo Grado
PNIS00200X,PN,Is G.A. Pujati,Istituto Superiore
GOEE80301Q,GO,N. Sauro,Scuola Primaria
UDMM842017,UD,Valussi - Udine,Scuola Primo Grado
UDIC842006,UD,Ii - Udine,Istituto Comprensivo
TSEE81803B,TS,P.Tomazic - L.Ins.Slovena,Scuola Primaria
PNAA83101L,PN,Pordenone-torre,Scuola Infanzia
GOTD00401X,GO,Ziga Zois (lingua Slovena),Istituto Tecnico Commerciale
GOAA80401A,GO,Carlo Collodi,Scuola Infanzia
TSAA80601T,TS,Mons.Edoardo Marzari,Scuola Infanzia
PNEE828023,PN,Maniago-campagna S.Giov.Bosco,Scuola Primaria
UDEE85403L,UD,Padre Davide Maria Turoldo,Scuola Primaria
UDAA84005G,UD,Malborghetto/ugovizza,Scuola Infanzia
TSAA800031,TS,Di Aurisina,Scuola Infanzia
TSAA805023,TS,Fulvio Tomizza,Scuola Infanzia
PNEE83403B,PN,Sacile-san Michele G.Marconi,Scuola Primaria
PNPS00101E,PN,Ettore Majorana,Liceo Scientifico
GOEE806039,GO,G. Carducci,Scuola Primaria
UDAA833029,UD,S.Maria La Longa/ Cap.,Scuola Infanzia
PNEE83201N,PN,Pn-comina Bassa Iv Novembre,Scuola Primaria
UDAA826026,UD,Le Colline dei Bimbi - Camino,Scuola Infanzia
TSIS00400D,TS,Isis Carducci - Dante,Istituto Superiore
PNEE814014,PN,Pasiano-cap. Dante Alighieri,Scuola Primaria
TSAA806063,TS,Antonio Illersberg,Scuola Infanzia
GOAA80403C,GO,Via della Poma,Scuola Infanzia
UDEE842029,UD,Udine-p. Zorutti,Scuola Primaria
PNMM828022,PN,Vivaro,Scuola Primo Grado
UDEE84005R,UD,Carlo Collodi-fraz.Ugovizza,Scuola Primaria
TSAA80001V,TS,Villaggio del Pescatore,Scuola Infanzia
TSEE80401B,TS,E. De Amicis,Scuola Primaria
PNEE834019,PN,Sacile-s.Giovanni L. Alighieri,Scuola Primaria
GOAA806012,GO,Via Gen. Paolini,Scuola Infanzia
UDMM83301C,UD,P. Zorutti - Palmanova,Scuola Primo Grado
UDEE82603C,UD,Dante Alighieri - Buttrio,Scuola Primaria
TSAA818025,TS,M. Stoka - L.Ins.Slovena,Scuola Infanzia
PNEE83203Q,PN,Pordenone-v.Le Triestegabelli,Scuola Primaria
TSPM004011,TS,Giosuè Carducci,Istituto Magistrale
GOAA806034,GO,Via Matteotti,Scuola Infanzia
PNPM00201B,PN,G.A. Pujati,Istituto Magistrale
UDEE84203A,UD,Luigi Garzoni - Via Ronchi,Scuola Primaria
PNAA81602G,PN,Caneva - Sarone S.Giuseppe,Scuola Infanzia
TSIC806001,TS,Ist. Compr. Altipiano,Istituto Comprensivo
PNMM828011,PN,Sms G. Marconi,Scuola Primo Grado
TSIC800002,TS,Ist. Compr. Rainer Maria Rilke,Istituto Comprensivo
TSAA80201E,TS,Di Melara,Scuola Infanzia
PNMM834018,PN,Sms M. e P. Balliana-i. Nievo,Scuola Primo Grado
UDAA83701G,UD,Piccola Resi,Scuola Infanzia
UDIC826008,UD,Antonio Coceani - Pavia di U,Istituto Comprensivo
UDAA827022,UD,Povoletto/marsure,Scuola Infanzia
TSCT70000V,TS,Centro Territoriale 18 Distretto,Centro Territoriale
PNPQ00201G,PN,G.A. Pujati- (ex F. Aporti),Scuola Magistrale
UDAA81204A,UD,Treppo Carnico,Scuola Infanzia
PNMM814013,PN,Celso Costantini,Scuola Primo Grado
PNAA82801R,PN,Maniago-cap.Monumento Caduti,Scuola Infanzia
TSEE806046,TS,G. Venezian,Scuola Primaria
UDIC83700P,UD,Università Castrense,Istituto Comprensivo
UDAA842024,UD,Udine - Sorelle Agazzi,Scuola Infanzia
UDMM80903N,UD,A. Magrini - Ovaro,Scuola Primo Grado
TSEE80203T,TS,C. Collodi,Scuola Primaria
TSEE800047,TS,Santa Croce,Scuola Primaria
PNIS001004,PN,I.I.S. G. Leopardi-e. Majorana,Istituto Superiore
UDPC002028,UD,ISTITUTO MAGISTRALE ANNESSO CONV. NAZ.,LICEO CLASSICO
GOMM806016,GO,Corridoni Filippo,Scuola Primo Grado
UDMM827015,UD,I. Pirona - Povoletto,Scuola Primo Grado
UDAA83303A,UD,Trivignano,Scuola Infanzia
PNRI00301B,PN,L. Zanussi,Istituto Professionale Industria e Artigianato
PNIC83200G,PN,Ic Pordenone Centro,Istituto Comprensivo
TSPC00401R,TS,Dante Alighieri,Liceo Classico
PNIC814002,PN,Ic Pasianocard.C.Costantini,Istituto Comprensivo
GOAA81205D,GO,Scuola dell'infanzia Mavrica,Scuola Infanzia
UDEE819039,UD,Luigi Bevilacqua - Flaibano,Scuola Primaria
TSEE806035,TS,J. Kugy,Scuola Primaria
PNAA82804X,PN,Maniago -via Campagna,Scuola Infanzia
UDCT70200L,UD,Centro Terr.Le Perm.Te Tolmezzo,Centro Territoriale
UDPC002017,UD,LICEO CLASSICO DIACONO ANNESSO CONV.NAZ.,LICEO CLASSICO
UDEE84205C,UD, S. Pellico . S. Osvaldo,Scuola Primaria
PNPC00101B,PN,Giacomo Leopardi,Liceo Classico
TSAA80603X,TS,Marcello Fraulini,Scuola Infanzia
UDRA01101P,UD,"""S. SABBATINI""",IST PROF PER L'AGRICOLTURA E L'AMBIENTE
PNMM81601P,PN,Enrico Fermi - Caneva,Scuola Primo Grado
UDIC83800E,UD,Lestizza - Talmassons,Istituto Comprensivo
UDEE819028,UD,Don Ugo Masotti-cisterna,Scuola Primaria
UDEE827016,UD,Piazza Vittorio Veneto,Scuola Primaria
TSCT70100P,TS,Centro Territoriale 16 Distretto,Centro Territoriale
GOSD007012,GO,M.Fabiani,Istituto d'Arte
PNEE81501X,PN,Azzano X-corva A.Diaz,Scuola Primaria
PNPS003016,PN,E. Torricelli,Liceo Scientifico
UDAA81102C,UD,Marano Lagunare,Scuola Infanzia
UDAA827011,UD,Faedis/campeglio,Scuola Infanzia
UDMM843013,UD,Fermi - Udine,Scuola Primo Grado
PNEE82903X,PN,S.Vito T.-ligugnanag.Marconi,Scuola Primaria
PNEE81603T,PN,Polcenigo V. Da Feltre,Scuola Primaria
UDTF004014,UD,Istituto Tecnico Tecnologico Plozner,Istituto Tecnico Industriale
UDEE83701R,UD,R. Marinotti,Scuola Primaria
TSMM700016,TS,CASA CIRCONDARIALE DI TRIESTE,SCUOLA PRIMO GRADO
UDEE80902N,UD,Don Massimo Felice - Ovaro,Scuola Primaria
UDEE827027,UD,Frazione Marsure di Magredis,Scuola Primaria
PNEE815021,PN,Azzano X-fagnigolan.Sauro,Scuola Primaria
UDIC843002,UD,Iv - Udine,Istituto Comprensivo
TSEE806024,TS,C. Lona,Scuola Primaria
PNEE828012,PN,Maniago-cap. Dante Alighieri,Scuola Primaria
UDCT700001,UD,Centro Terr.Le Perm.Te Udine,Centro Territoriale
UDEE852031,UD,R. Battistig-s.Giacomo Ragogn,Scuola Primaria
GOEE81203L,GO,Scuola Primaria Josip Abram,Scuola Primaria
GOIC814004,GO,Ic Gorizia 2,Istituto Comprensivo
UDTD00401T,UD,Istituto Tecnico Economico Mattei,Istituto Tecnico Commerciale
UDAA80901B,UD,Guglielmo De Antoni,Scuola Infanzia
UDPS00201A,UD,L.SCIENTIFICO ANNESSO CONV.NAZ.,LICEO SCIENTIFICO
PNMM81701E,PN,I. Svevo Chions,Scuola Primo Grado
UDEE823053,UD,Mediis,Scuola Primaria
GOIS007005,GO,Gabriele D'annunzio,Istituto Superiore
UDAA819012,UD,Coseano/cisterna,Scuola Infanzia
UDEE81207P,UD,Paularo,Scuola Primaria
UDAA827033,UD,Attimis,Scuola Infanzia
UDIC847009,UD,Cervignano,Istituto Comprensivo
TSPC02000N,TS,Francesco Petrarca,Liceo Classico
TSIC80900C,TS,Ist. Compr. Antonio Bergamas,Istituto Comprensivo
UDCT70700Q,UD,Centro Terr.Le Perm.Te Cividale,Centro Territoriale
UDEE843025,UD,A.Zardini/cussignacco,Scuola Primaria
GOEE81202G,GO,Scuola Primaria Fran Erjavec,Scuola Primaria
UDMM821016,UD,A.Venier - Aiello del Friuli,Scuola Primo Grado
UDRI004017,UD,Ipsial.Plozner-latisana,Istituto Professionale Industria e Artigianato
PNEE82901T,PN,S.Vito Al T.-cap.A.L. Moro,Scuola Primaria
PNEE81602R,PN,Caneva-cap. Umberto I,Scuola Primaria
TSMM042005,TS,CPIA 1 TRIESTE,SCUOLA PRIMO GRADO
UDMM80906R,UD,Sappada Sec. I Grado,Scuola Primo Grado
GOTE00701V,GO,Gabriele D'annunzio,Istituto Tecnico per Attività Sociali (già ITF)
PNIC81500T,PN,Ic Azzano Decimon.Cantarutti,Istituto Comprensivo
UDAA85304L,UD,Montenars,Scuola Infanzia
UDCT70300C,UD,Centro Terr.Le Perm.Te Codroipo,Centro Territoriale
TSAA820058,TS,Mavrica - L.Ins.Slovena,Scuola Infanzia
UDEE81201C,UD,Cercivento,Scuola Primaria
UDMM827026,UD,Via Pranuf - Faedis,Scuola Primo Grado
GOEE814049,GO,Elisa Frinta,Scuola Primaria
UDEE843014,UD,Boschetti Alberti,Scuola Primaria
UDEE84702C,UD,Riccardo Pitteri,Scuola Primaria
UDMM85202V,UD,Sms Via A. Tissino - Ragogna,Scuola Primo Grado
GOMM81201D,GO,Sc. Sec.Di I. Grado Ivan Trinko,Scuola Primo Grado
UDIS00400G,UD,Istituto Superiore E.Mattei Latisana,Istituto Superiore
PNEE82902V,PN,S.Vito Tagl.La Nostra Famiglia,Scuola Primaria
UDRC00401E,UD,Ipsc E.Mattei-latisana,Istituto Professionale per i Servizi Commerciali
UDEE80903P,UD,Aulo Magrini - Prato Carnico,Scuola Primaria
UDEE827038,UD,Giosuè Carducci-attimis,Scuola Primaria
GOEE81001V,GO,E.De Amicis,Scuola Primaria
UDEE848017,UD,Via Libertà Tempo Modulare,Scuola Primaria
TSAA820025,TS,Miskolin - L.Ins.Slovena,Scuola Infanzia
UDAA821023,UD,G. Rodari,Scuola Infanzia
UDMM84502Q,UD,Michele Gortani - Trasaghis,Scuola Primo Grado
TSRC001011,TS,Scipione De Sandrinelli,Istituto Professionale per i Servizi Commerciali
PNEE83202P,PN,Pordenone-via Molinaricollodi,Scuola Primaria
GOEE814038,GO,Vitaliano Fumagalli,Scuola Primaria
GOTF00801D,GO,G. Galilei,Istituto Tecnico Industriale
UDMM700018,UD,CASA CIRCONDARIALE,SCUOLA PRIMO GRADO
UDAA85202P,UD,S.Daniele/villanova,Scuola Infanzia
UDTN00401Q,UD,Istit. Tecn. per Il Turismo di Brazzà,Istituto Tecnico per il Turismo
UDAA81206C,UD,Ravascletto,Scuola Infanzia
GOAA812019,GO,Scuola dell'inf. Pikapolonica,Scuola Infanzia
TSEE81002Q,TS,E. De Marchi,Scuola Primaria
UDAA822041,UD,Scuola Infanzia Duca D'aosta,Scuola Infanzia
PNIC81700D,PN,Ic Chions,Istituto Comprensivo
PNMM827015,PN,L. Da Vinci Cordenons,Scuola Primo Grado
UDEE81104Q,UD,E F Duca D'aosta - Precenicco,Scuola Primaria
GOEE810031,GO,N.Tommaseo,Scuola Primaria
GOIS008001,GO,Galileo Galilei,Istituto Superiore
