operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
FRANCESCO COLUMBU & C. SNC,SNACK BAR GENNARGENTU,RM,Roma,Via Di Portonaccio,43 A/B,12.5345194,41.9074398,00159,DOMENICA,,
FRANCESCO GIORDANO,RINGO BAR,RM,Roma,Viale Vasco De Gama,43318,12.2722572,41.7353496,00121,DOMENICA,,
FRANCESCO ONOFRI,FRAICHE,RM,Roma,Via Salaria,121/D,12.4985167,41.9195328,00198,SABATO E DOMENICA,,
FRATELLI  FABIO E ROBERTO STAROCCIA E C SNC,STAROCCIA,RM,Roma,Via Sicilia,121,12.4893577,41.9081518,00187,DOMENICA,,
FRATELLI CATALDI SAS,CARREFOUR EXPRESS,RM,Roma,Via Aureliana,1,12.4954548,41.9068003,00187,MAI,,
FRATELLI CAVALIERI SRL,IL VELIERO CAFE RISTORANTE,RM,Roma,Via Ostiense,131/N/O,12.4789164,41.8639051,00154,DOMENICA,,
FRATELLI CRISCIOTTI SAS DI CRISCIOTTI BERNARDINO E C,TRATTORIA F.LLI CRISCIOTTI,RM,Roma,Via Massimo D'azeglio,5,12.6490684,41.7469194,00184,DOMENICA,,
FRATELLI GARBATELLA SRLS,RISTORANTE PIZZERIA LA TORRICELLA 2,RM,Roma,Circonvallazione Ostiense,192,12.4876818,41.8669898,00154,MAI,,
FRATELLI ROCCHI SRL,BOTTEGA ROCCHI,RM,Roma,Via Del Caravita,9,12.4800329,41.899282,00186,MAI,,
FRIENDS FOOD 2017 SRL,SAPORI D' ISCHIA,RM,Roma,Via Marche,19,12.4904417,41.9084253,00187,MAI,,
FROB SRL,ALICE IL NOME DELLA PIZZA,RM,Roma,Circonvallazione Ostiense,353,12.4934056,41.8673282,00154,DOMENICA,,
FROLLANO MIRKO,MODENA PANINERIA,RM,Roma,Via Modena,49,12.4940855,41.9021053,00184,DOMENICA,,
FRUTTA CAPITALE SRL,ZAZIE,RM,Roma,Via Cesare Bosi,7,12.5000237,41.9118554,00198,SABATO E DOMENICA,,
FUTURA PORTICO SRL,CATINARI,RM,Roma,Via Di Santa Maria Del Pianto,16,12.4761049,41.8934747,00186,MAI,,
G.A.R. SRL,IL PAPERO GIALLO SELF SERVICE,RM,Roma,Via Vaglia,13/21,12.5146581,41.9498629,00139,DOMENICA,,
G.P. SRL,CARREFOUR EXPRESS,RM,Roma,Via Alessandro Piola Caselli,101,12.2859795,41.7378588,00122,MAI,,
G.P. SRL,CARREFOUR EXPRESS,RM,Roma,Via Casal Palocco,28,12.356838846135048,41.74441063287904,00124,MAI,,
GAGE SRL,CAFFE CAMBRIDGE,RM,Roma,Viale Regina Margherita,67/69,12.5053302,41.9140578,00198,MAI,,
GAGLIO GIUSEPPE,PIZZERIA DI GIANNI,RM,Roma,Via Dei Sommozzatori,53,12.4814222,41.8222131,00143,DOMENICA,,
GAIA 2010 SRLS CON SOCIO UNICO,TERRA MIA-RISTORANTE BAR PIZZERIA,RM,Roma,Via Reggio Emilia,10,12.5029981,41.9121665,00198,DOMENICA,,
GAMFOOD SRL,PAGNOTELLA GOURMET,RM,Roma,Via Tacito,34/36,12.4671573,41.9075572,00193,MAI,,
GAO CHI LANG,RISTORANTE VIP CINESE E GIAPPONESE,RM,Roma,Via Dell'Arcadia,71,12.4920514,41.8531391,00147,MAI,,
GARGANI VALERIO SRL,GARGANI RISTORANTE,RM,Roma,Via Lombardia,15/17,12.4874906,41.907668,00187,MAI,,
GATTI SRL,CONAD CITY,RM,Roma,Via Georges Sorel,25,12.564326,41.8969851,00177,MAI,,
GATTI SRL,CONAD CITY,RM,Roma,Via Prenestina,250/H,12.559325,41.8949716,00177,MAI,,
GE.BAR SRL,TOMAS BAR,RM,Roma,Via Oreste Tommasini,38/44,12.5257375,41.9197577,00162,DOMENICA,,
GE.PI.R. SNC DI FULLONE D. E G.,TAVOLA CALDA,RM,Roma,Via Castani,50,12.566727,41.8826474,00172,DOMENICA,,
GELATI DI PIETRA SRL,IL PANINO INGEGNOSO,RM,Roma,Piazza Di Pietra,35,12.4791901,41.8999682,00186,MAI,,
GEMA COMMERCIALE SRL IN LIQUIDAZIONE,TUODI MARKET,RM,Roma,Via Di Boccea,236A-238,,,00167,MAI,,
GERVIT SRL,RED CARPET,RM,Roma,Via Forlì,47,12.5139095,41.9091726,00161,DOMENICA,,
GESCRALBAR SRL,GESCRAL BAR,RM,Roma,Via Antonio Baiamonti,25,12.459963,41.9146559,00195,SABATO E DOMENICA,,
GESPAC SRL,CONAD SUPERSTORE SUPERMERCATO,RM,Roma,Via Nocera Umbra,SNC,12.5288369,41.8781401,00181,MAI,,
GESPAC SRL,CONAD SUPERSTORE SUPERMERCATO,RM,Roma,Viale Isacco Newton,51/53/55 59,,,00151,MAI,,
GESPAC SRL,CONAD SUPERSTORE,RM,Roma,Via Ignazio Giorgi,53/A,12.5226236,41.918752,00162,MAI,,
GESPAC SRL,CONAD SUPERSTORE SUPERMERCATO,RM,Roma,Via Attilio Ambrosini,183,12.4915688,41.8504685,00147,MAI,,
GESPAC SRL,CONAD SUPERSTORE,RM,Roma,Via Tuscolana,950,12.5498634,41.8634222,00174,MAI,,
GESTAR 1 SRL,CONAD MARKET,RM,Roma,Via Taranto,204,12.517281,41.8840145,00182,DOMENICA,,
GESTI. DIR. SRL,BAKE,RM,Roma,Largo Del Bronzino,43377,12.4948946,41.8307048,00142,DOMENICA,,
GESTI. DIR. SRL,COFFEE AND CO,RM,Roma,Viale Palmiro Togliatti,2,12.571520021216994,41.853063000000006,00173,MAI,,
GESUALDI ANTONIETTA,CAFFETTERIA TREVIS,RM,Roma,Via Giacomo Trevis,46,12.4987097,41.8644638,00147,DOMENICA,,
GFM SRL,CONAD,RM,Roma,Corso Trieste,200,12.5076679,41.9151535,00198,MAI,,
GFM SRL,CONAD,RM,Roma,Via Cardinale Di York,2,,,00148,MAI,,
GI.MAD. DE SANTIS SANDRO & C. SNC,PIZZA E POLLI ATENEO,RM,Roma,Piazza Dell'Ateneo Salesiano,40,12.5241323,41.9595239,00139,MAI,,
GIGLIO SRL,RISTORANTE DEL GIGLIO,RM,Roma,Via Torino,137,12.4955986,41.9014889,00184,DOMENICA,,
GIOVA SRL,BEAT,RM,Roma,Via Fabio Massimo,51,12.4622124,41.9088108,00192,DOMENICA,,
GIRODOLIO DI GIANLUCA REGAZZO,GIRODOLIO,RM,Roma,Via Fabio Massimo,16,12.4628212,41.9077239,00192,DOMENICA,,
GIUMA SRL,RISTORANTE GIUMA,RM,Roma,Piazza Alessandria,23,12.501552593108695,41.911280700000006,00198,DOMENICA,,
GO DISTRIBUZIONE SRL,PAM,RM,Roma,Via Lemonia,187,12.5590766,41.8527284,00174,MAI,,
GO DISTRIBUZIONE SRL,META,RM,Roma,Viale Dei Colli Portuensi,191,12.443919,41.8666232,00151,MAI,,
GOLA SRL,BAR TENTAZIONI,RM,Roma,Via Silvio D'Amico,115,12.481293,41.8502818,00145,MAI,,
GOURMET SERVICE SRL,PAGNOTELLA GOURMET,RM,Roma,Viale Beethoven,90,12.467229,41.8339338,00144,DOMENICA,,
GOURMETTANDO SRLS,PANINA GASTRONOMIA,RM,Roma,Viale Europa,310,12.4737349,41.8294942,00144,SABATO E DOMENICA,,
GPS  ALIMENTARI SRL,IPERTRISCOUNT  GPS  ALIMENTARI,RM,Roma,Via Orvieto,44,12.517058375000001,41.884914825,00182,MAI,,
GRACOS SRL,PEWEX SUPERMERCATI,RM,Roma,Viale Guglielmo Marconi,37,12.4707132,41.8587925,00146,MAI,,
GRAMAR SRL,IPERCARNI,RM,Roma,Via Casilina,1846,12.6637961,41.8643865,00132,MAI,,
GRAN CAFFE' FRUIT E COFFEE SRLS,GRAN CAFFE' FRUIT E COFFEE,RM,Roma,Via Di Capo Le Case,27,12.4844145,41.9038497,00187,MAI,,
GRAN CAFFE' SWEET & SAVORY SRLS,GRAN CAFFE',RM,Roma,Via Delle Quattro Fontane,28,12.4923341,41.9010516,00184,DOMENICA,,
GRAN CATERING SRL,GU GRAN CAFFE,RM,Roma,Viale Dell'Aeronautica,25/31,12.4754014,41.8259588,00144,MAI,,
GREEN BAR SNC,GREEN BAR,RM,Roma,Via Cesare Beccaria,9,12.4745476,41.9127761,00196,SABATO E DOMENICA,,
GRIF CAFE' 2 SRL,GRIF CAFE',RM,Roma,Via Gracchi,203,12.4648278,41.9085687,00192,DOMENICA,,
GRIF CAFE' SRL,GRIF CAFE' TAVOLACALDA,RM,Roma,Viale Giuseppe Mazzini,49/51,12.4566886,41.9157881,00195,DOMENICA,,
GRUPPO ARGENTI SRL,PUNTO SIMPLY,RM,Roma,Piazza Cola Di Rienzo,86/C,12.466607,41.9083086,00192,MAI,,
GRUPPO ARGENTI SRL,SIMPLY MARKET,RM,Roma,Via Fabio Massimo,35/37,12.4622124,41.9088108,00192,MAI,,
GRUPPO ARGENTI SRL,PUNTO SIMPLY,RM,Roma,Piazza Di S Maria Liberatrice,43160,,,00153,MAI,,
GRUPPO CATALDI SRL,CARREFOUR EXPRESS,RM,Roma,Viale Arturo Crocco,51,12.3952561,41.821671,00148,MAI,,
GRUPPO CATALDI SRL,CARREFOUR EXPRESS,RM,Roma,Via Di Grotta Perfetta,141/147,12.514968,41.8323737,00142,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Via Alberto Lionello,201,12.5386784,41.9701141,00139,MAI,GALL. COMM. PORTA DI ROMA,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Via Appia Nuova,48,12.5100799,41.8852976,00183,MAI,C.C. HAPPIO,
