operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
IPPOCRATE 94 SRL,PIZZERIA IPPOCRATE,RM,Roma,Viale Ippocrate,92/94,12.5183316,41.9076443,00161,DOMENICA,,
IRIS BAR SRL,IRIS BAR,RM,Roma,Via Giovanni Battista Morgagni,30/L,12.5106639,41.9098011,00161,MAI,,
ITALIANA SUPERMERCATI SRL,PEWEX SUPERMERCATI,RM,Roma,Via Cassia,2019,12.375529494959308,42.032481149999995,00123,MAI,,
JENKY SRLS,CAFFE' VINTAGE,RM,Roma,Via Sicilia,148,12.4893577,41.9081518,00187,SABATO E DOMENICA,,
JESSICA 95 SRL,BUDDY,RM,Roma,Corso Vittorio Emanuele Ii,107/A,12.4728305,41.8968872,00186,MAI,,
JOHNNMEZZANOTTE SRL,JOHNNMEZZANOTTE,RM,Roma,Viale Europa,322,12.4691938,41.8308093,00144,MAI,,
JUSTIN SRL,JUSTIN BAR,RM,Roma,Corso D'Italia,38/G/L,12.4940073,41.9109926,00198,DOMENICA,,
KEPAL SRL,CARREFOUR MARKET,RM,Roma,Via Ajaccio,29,12.5093341,41.9190832,00198,MAI,,
KIKO SRL,RISTORANTE ANNI CINQUANTA,RM,Roma,Via Flavia,3/A/D,12.670462,41.7205491,00187,MAI,,
KOINE SRL,VERO FOOD AND SMILES,RM,Roma,Via Venti Settembre,26,12.4956205,41.9052704,00187,MAI,,
L ESSENZA DEL CIBO SRLS,L ESSENZA DEL CIBO,RM,Roma,Piazza Attilio Pecile,54,12.4856417,41.8687779,00154,DOMENICA POMERIGGIO,,
LA CICOLANA SRLS,PIZZERIA RUSTICA,RM,Roma,Via Gerolamo Cardano,66,12.4683476,41.8634439,00146,DOMENICA,,
LA GINESTRA SRL,BAR INTERNO,RM,Roma,Via Venti Settembre,20,12.4953601,41.9052907,00187,SABATO E DOMENICA,MINISTERO AGRICOLTURA,
LA MACELLERIA POKER SRLS,LA MACELLERIA POKER,RM,Roma,Via Roberto Malatesta,21/23,12.5371934,41.8874287,00176,DOMENICA,,
LA NUOVA ERA SRL,LA NUOVA ERA BAR,RM,Roma,Via Cina,56,12.4376759,41.8163368,00144,DOMENICA,,
LA NUOVA NAPOLETANA SRL,LA NUOVA NAPOLETANA,RM,Roma,Via Antoniotto Usodimare,34,12.4944923,41.8679824,00154,DOMENICA,,
LA RICCA IDEA SRL,LA RICCA IDEA,RM,Roma,Via Fulcieri Paulucci Calboli,50/52,12.461485,41.9165456,00195,MAI,,
LA RINASCENTE SPA,LA RINASCENTE BAR,RM,Roma,Via Aniene,1,12.4969064,41.9116588,00198,MAI,RINASCENTE,
LA RINASCENTE SPA,LA RINASCENTE,RM,Roma,Piazza Fiume,SNC,12.4981727,41.9105769,00198,MAI,,
LA ROSA DEI VENTI SNC DI DE SANTIS ROSA MARIA E C.,LA ROSA DEI VENTI,RM,Roma,Piazza Monte Baldo,3/A,12.5340195,41.9370738,00141,DOMENICA,,
LAB 14 SRL,IPERCARNI MARKET,RM,Roma,Via Marco Papio,30/32,12.5513989,41.8658191,00175,MAI,,
LADISA SPA,BAR MINISTERO,RM,Roma,Viale Dell'Arte,16,12.4741815,41.832004,00144,SABATO E DOMENICA,,
LAGABI SRL,LA GALLINA BIANCA,RM,Roma,Via Antonio Rosmini,9,12.4975118,41.8998681,00184,MAI,,
L'ALIMENTARISTA SRL,CENTRO ALIMENTARI,RM,Roma,Via Cesare Ricotti,38/40,12.5352028,41.8993528,00159,DOMENICA,,
L'ANGOLO DELLE BONTA' SNC DI SALVATORI CESARE,L'ANGOLO DELLE BONTA',RM,Roma,Via Caio Canuleio,16/18/20,12.5626529,41.8515235,00174,DOMENICA,,
L'ARANCINA SRL,MONDO ARANCINA,RM,Roma,Via Marcantonio Colonna,38/40,12.4665671,41.9106758,00192,MAI,,
L'ARTE DELLA PIZZA DI MOHAMMED TOPON,L'ARTE DELLA PIZZA,RM,Roma,Via Luigi Santini,43224,12.469176,41.887049,00153,MAI,,
LATROFA ANNAMARIA SNC,BAR,RM,Roma,Via Vercelli,56,12.5166393,41.8818098,00182,DOMENICA,,
LE DELIZIE DELLA TAVOLA SRL,LE DELIZIE DELLA TAVOLA,RM,Roma,Via Del Ponte Delle Sette Miglia,40,12.6031129,41.8423655,00173,DOMENICA,,
LE DOLCI TENTAZIONI SRL,TORNATORA,RM,Roma,Viale Della Grande Muraglia,320,12.4556417,41.8227544,00144,MAI,,
LEGNO E FERRO - ATENA SRLS,FERRO 54,RM,Roma,Via Angelo Bargoni,60,12.4691019,41.8809892,00153,SABATO,,
LEONINA 2017 SRLS,PIZZERIA LEONINA,RM,Roma,Via Leonina,84,12.4913222,41.894647,00184,MARTEDI',,
LIN SHUANGQIANG,RISTORANTE TOYAMA,RM,Roma,Via Della Lega Lombarda,41913,,,00162,MAI,,
LO SPUNTINO 2014 SRL,LO SPUNTINO,RM,Roma,Viale Giulio Cesare,28,12.4568508,41.9090795,00192,SABATO E DOMENICA,,
LOMETA SRL,LE MARK SUPERMERCATO,RM,Roma,Via Del Fosso Di San Matteo,17/35,12.6501991,41.8203925,00133,MAI,,
LOPEZ SARA DEBORA,PIZZAMANIA,RM,Roma,Via Dei Traghetti,69,12.2782974,41.7360992,00121,MARTEDI',,
LUCARELLI ORIGINAL SRL,BISTRO L,RM,Roma,Piazza Ragusa,61,12.5222158,41.8814116,00182,MAI,,
LUEMA SRL,PIZZA E DINTORNI,RM,Roma,Via Laurentina,912,12.4808313,41.8010134,00143,DOMENICA,,
LUNA MEDITERRANEA SRL,ALICE PIZZA,RM,Roma,Via Romagna,28,12.4943201,41.9094296,00187,DOMENICA,,
LUPI SUPERMERCATI SRL,PUNTO SIMPLY SUPERMERCATO,RM,Roma,Piazza Di S Maria Liberatrice,43160,,,00153,MAI,,
LUPI SUPERMERCATI SRL,PUNTO SIMPLY SUPERMERCATO,RM,Roma,Piazza Testaccio,21/25,12.4765733,41.8797335,00153,MAI,,
LUSTRATI DOMENICO,POK POLL'OK,RM,Roma,Via Cesare Paoletti,24/26,12.5001516,41.9109151,00198,MAI,,
M & D SRL,GEDA CAFFE,RM,Roma,Via Giacomo Trevis,86,12.4987097,41.8644638,00147,SABATO E DOMENICA,,
M E C SAS DI CENESI MASSIMO E C,BAR CAFFETTERIA TAVOLA CALDA,RM,Roma,Via Benedetto Croce,53/55,12.4842044,41.8417514,00142,DOMENICA,,
M. & R. FOOD HALL SRL,CAFE' BUD BAR,RM,Roma,Via Ovidio,42705,12.4643799,41.9066354,00193,DOMENICA,,
M. E G. DI M. E G. LATTANZI SNC,PIZZIDEA,RM,Roma,Viale Adriatico,135,12.536697,41.9420685,00141,DOMENICA,,
M.ANT.A 97 SRL,ALARI,RM,Roma,Via Portuense,106/B,12.4680428,41.8774685,00153,LUNEDI',,
M.V.M. SRL,CAFFETTERIA DEI GRACCHI,RM,Roma,Via Gracchi,108/112,12.4648278,41.9085687,00192,MAI,,
M2G SRL,REGUSTO,RM,Roma,Viale Dell'Arte,5,12.4755924,41.8319658,00144,MAI,,
MA.LU.GIO. SRL,CAFE' BISTROT,RM,Roma,Via Gabriello Chiabrera,128,12.4793762,41.8542127,00145,MAI,,
MACAO SRL,COFFEE AND CAKE,RM,Roma,Corso Trieste,18,12.5076679,41.9151535,00198,DOMENICA,,
MACCHIA MARIANNA,PIZZERIA MEDITERRANEA,RM,Roma,Via Agostino Depretis,76,12.4959881,41.8989269,00184,DOMENICA,,
MACINANTI SRL,MACINANTI RISTORANTE,RM,Roma,Via Elio Vittorini,45/47,12.4702692,41.8187209,00144,DOMENICA,,
MAGESTIC SRL,CONAD,RM,Roma,Via Della Magliana,224,12.4459624,41.8331116,00146,MAI,,
MAIORINO ANTONIO,GRAN CAFFE' MAIORINO,RM,Roma,Viale Giuseppe Mazzini,104,12.4566886,41.9157881,00195,DOMENICA,,
MALICA SNC DI TIMPANARO E CARTA,ALICE PIZZA,RM,Roma,Via Lazio,15,12.487691,41.9085176,00187,DOMENICA,,
MALVA SRL,AGOSTINI DAL 1968,RM,Roma,Via Costantino Corvisieri,28/32,12.5213504,41.9200352,00162,DOMENICA,,
MAMA DI GUGGIOLI MAURO,GUSTERIA AL 17,RM,Roma,Via Natale Del Grande,17,12.4698611,41.8871528,00153,MAI,,
MAMIANI BAR SRL,DOMUS ALTIERI BISTROT,RM,Roma,Via Del Gesù,94,12.4787962,41.8972951,00186,MAI,,
MAN GIO SRL,IL GUSTO GASTRONOMIA,RM,Roma,Via Gaetano Lodi,26,12.6053043,41.8423665,00173,SABATO E DOMENICA,,
MAO WEI,RISTORANTE CINESE,RM,Roma,Via Gela,81/83,12.520192,41.87853,00182,MAI,,
MAR E PI SRL,LA DOLCE VITA CAFFETTERIA,RM,Roma,Vicolo Del Casal Lumbroso,85,,,00166,DOMENICA,,
MAR.ISA SRL,RIK'S CAFE' BAR RESTAURANT,RM,Roma,Via Dei Mille,7/A,12.5042998,41.9028948,00185,MAI,,
MARCEDDU SILVANO,PIZZERIA DEL SECOLO,RM,Roma,Via Palestro,62,12.5069418,41.9027291,00185,MAI,,
MARCELLINI IVANO,BAR TRATTORIA DA IVANO,RM,Roma,Via Portuense,1433,12.347866194444439,41.8184825,00148,DOMENICA,,
MARCOCCI BRUNO,PANBISCOTTO,RM,Roma,Viale Antonio Ciamarra,164/A,12.5902893,41.8559673,00173,DOMENICA,,
MARGIOTTA ALESSANDRO,MACELLERIA MARGIOTTA,RM,Roma,Via Stefano Oberto,SNC,12.5861323,41.8520525,00173,DOMENICA,,
MARINVEST SRL,IPERCARNI SUPERMERCATO,RM,Roma,Viale Dell'Esercito,38,12.4963641,41.8066958,00143,MAI,,
MARKET 2S SRL,CONAD CITY,RM,Roma,Via Dei Crispolti,60,12.5494097,41.9090007,00159,DOMENICA,,
MARKET 3S SRL,CONAD,RM,Roma,Piazza R Balsamo Crivelli,29,,,00159,DOMENICA POMERIGGIO,,
MARTINA MANDARA,MOKASIRS COFFE BAR,RM,Roma,Circonvallazione Ostiense,253,12.4934056,41.8673282,00154,DOMENICA,,
MASED DI FRATINI SERGIO E C,MINI MARKET,RM,Roma,Via Enzo Benedetto,7/A/B,12.5815347,41.8329421,00173,MAI,,
MAUGERI MAURIZIO,MACELLERIA,RM,Roma,Via Dell'Appagliatore,BOX C1,,,00121,DOMENICA,MERCATO BOX C1,
MAURO DONFRANCESCO,BAR GASTRONOMIA,RM,Roma,Via Magenta,7,13.2795689,41.5385711,00185,MAI,,
MAX ANT SRL,BAR MAX CAFFE NIAGARA,RM,Roma,Piazza Dell'Indipendenza,18,12.50247900915856,41.90436605,00185,MAI,,
MAZAL SRL,CREO BOULANGERIE,RM,Roma,Via Salaria,22,12.4985167,41.9195328,00198,MAI,,
MAZZA MASSIMO,SCACCO MATTO BAR,RM,Roma,Viale Vasco De Gama,251,12.2722572,41.7353496,00121,DOMENICA POMERIGGIO,,
MBGOODS SRLS,HOMY,RM,Roma,Viale Avignone,128,12.4539196,41.818499,00144,MAI,,
MC RISTORAZIONE SRL,LA LOCANDA DEL TEMPIO,RM,Roma,Via Di Pietra,85,12.4802101,41.8999958,00186,MAI,,
MECAM SRL,SIMPLY,RM,Roma,Via Tagliamento,36,12.5042192,41.9208829,00198,MAI,,
MEDIS SRL,TIGRE AMICO SUPERMERCATO,RM,Roma,Via Faleria,30,12.5106793,41.8835905,00183,MAI,,
MELA VERDE SRL,MELA VERDE CAFFE',RM,Roma,Via Paolo Di Dono,41/43/45,12.493346,41.8300845,00142,DOMENICA,ROMA EUR,
MENNI SRL,TIGRE AMICO SUPERMERCATO,RM,Roma,Largo Benedetto Marcello,1,12.4975656,41.9187051,00198,MAI,,
MENU COMPANY SRL,BISTROT LUCE,RM,Roma,Via Silvestri,232,12.4378197,41.8777895,00164,MAI,,
MENU COMPANY SRL,HOSTARIA LUCE,RM,Roma,Via Della Luce,44,12.4746903,41.8880893,00153,MAI,,
MERCATO CENTRALE ROMA TERMINI SRL,MERCATO CENTRALE ROMA,RM,Roma,Via Giovanni Giolitti,36,12.5035512,41.8988768,00185,MAI,,
MERCEDE 19 SRLS,PASTA MIA,RM,Roma,Via Della Mercede,19,12.4821672,41.903293,00187,MAI,,
MERCURI SRL,MERCURI,RM,Roma,Viale Ventuno Aprile,65,12.5202526,41.9158292,00162,DOMENICA,,
MIDA SNC,BAR MIDA,RM,Roma,Via Nomentana,61,12.5133326,41.917478,00161,SABATO E DOMENICA,,
MIGLIARO COSTANZA,BAR DELLO STADIO,RM,Roma,Via Mar Arabico,28,12.3009917,41.7342094,00122,MAI,,
MILELLIS BAR SAS DI FRANCIS ELLIS,BADAPEST BAR,RM,Roma,Viale Capitan Consalvo,13,12.2784839,41.7325452,00122,DOMENICA,,
MILLEVOLTEEMME SRLS,ACQUA E FARINA,RM,Roma,Corso Vittorio Emanuele Ii,260,12.4728305,41.8968872,00186,DOMENICA POMERIGGIO,,
MINI MONDO SRL,CARREFOUR SUPERMERCATO,RM,Roma,Via Dei Giardinetti,137/139,,,00133,MAI,,
MINI SNC DI BELCIUG E MICHELE PATACCHIA,BAR I GASTRONOMI,RM,Roma,Via Gaeta,43,12.5020383,41.9055951,00185,MAI,,
MISSIONE BENESSERE ROMA SRL,VITALITY FOOD,RM,Roma,Piazza Dell'Indipendenza,8,12.503113,41.904244,00185,MAI,,
MISTER PIZZA DI ALBERTO PAOLETTI,MISTER PIZZA,RM,Roma,Via Alessandria,80,12.5005346,41.9105957,00198,DOMENICA,,
MITICA COUTURE SRL,LE MYTHIQUE BISTROT,RM,Roma,Via Ugo Ojetti,466,12.5523297,41.9447107,00137,MAI,,
MOCCA SRL,CONAD,RM,Roma,Via Di S Croce In Gerusalemme,14,,,00185,MAI,,
MOLLICA OSVALDO,ALIMENTARI,RM,Roma,Via Oreste Tommasini,51/53,12.5257375,41.9197577,00162,DOMENICA,,
MONDO PIZZA SAS DI ATTA MOUSTAFA A.M. E C,MONDO PIZZA,RM,Roma,Via Giuseppe Marotta,5,12.4823277,41.8150358,00143,SABATO,,
MONFORTANI SRL,RISPARMIO PIU SUPERMERCATO,RM,Roma,Via Prenestina,1390,12.6629431,41.8908702,00132,MAI,,
MONICA OLIVIA,MAOLI LA BOUTIQUE DEI SAPORI,RM,Roma,Via Toscana,32,12.4908031,41.9098917,00187,DOMENICA,,
MONICH SRLS,BAR RISTORANTE ANTICHE MURA,RM,Roma,Via Leone Iv,51/53,12.4551105,41.9095658,00192,MAI,,
MONTEDORO 94 SRL,CAFFE MONTE D'ORO,RM,Roma,Piazza Di Monte D'oro,91/92,12.476943,41.9047956,00186,MAI,,
MONTI ELISABETTA,ALICE PIZZA,RM,Roma,Via Teulada,61,12.4551811,41.9194397,00195,DOMENICA,,
MONTUORI GIOVANNI,TRATTORIA PIZZERIA DA GIOVANNI,RM,Roma,Via Carlo Citerni,43381,12.4931446,41.8679018,00154,LUNEDI',,
MSM AURORA SRL,BAR RISTORANTE,RM,Roma,Largo Santa Susanna,108,,,00187,DOMENICA,,
MUCELLI GIANCARLO,TECNO PIZZA TAKE AWAY,RM,Roma,Via Zoe Fontana,220,12.606986256058027,41.92805025,00131,SABATO E DOMENICA,,
NAZIONALE SRL,CAFFE' DEL QUIRINALE,RM,Roma,Via Ventiquattro Maggio,49,12.4867669,41.8980055,00187,SABATO E DOMENICA,,
NEW ART GALLERY SRLS,NEW ART GALLERY,RM,Roma,Via Francesco Gai,8,12.4654846,41.9315692,00196,DOMENICA,,
NEW FLAVIA SAS DI SIMEONI MARGHERITA & C.,ALICE PIZZA,RM,Roma,Circonvallazione Appia,450,12.5153411,41.875872,00179,MAI,C/C HAPPIO,
NEW FLAVIA SAS DI SIMEONI MARGHERITA & C.,ALICE PIZZA,RM,Roma,Via Cimino,91,12.5344172,41.9457881,00139,MAI,,
NEW FLAVIA SAS DI SIMEONI MARGHERITA & C.,ALICE PIZZA,RM,Roma,Viale Dei Colli Portuensi,582,12.443919,41.8666232,00151,MAI,,
NEW FLAVIA SAS DI SIMEONI MARGHERITA E C,ALICE PIZZA,RM,Roma,Via Flavia,91,12.4967995,41.9068305,00187,DOMENICA,,
NEW WAY ROMA SRL,HAM HOLY BURGER  RISTORANTE PIZZERIA,RM,Roma,Via Brescia,24/32,12.4999594,41.9122927,00198,MAI,,
NIBBI DAL 1936 SRL,BAR PANINOTECA,RM,Roma,Via Emilia,42/44,12.4884049,41.907899,00187,DOMENICA,,
NICCODIFRA SRL,CONAD,RM,Roma,Via Massa Di San Giuliano,265,12.6951599,41.9033795,00132,DOMENICA,,
NICE BREAK SRL,CAFFE IL DOLLARO,RM,Roma,Circonvallazione Ostiense,355,12.4934056,41.8673282,00154,DOMENICA,,
NIEVO AL 51 SRL,NIEVO AL 51,RM,Roma,Via Ippolito Nievo,51,12.4674265,41.8784339,00153,SABATO,,
NINA SRL,NINA BAR,RM,Roma,Via Flavia,46,12.4967995,41.9068305,00187,MAI,,
NON CI RESTA CHE PIZZA SRL,IL CILENTANO PIZZA,RM,Roma,Via Diego Angeli,40/42,12.5512584,41.9074896,00159,MARTEDI',,
NONNA LIA S. PAOLO SRL,NONNA LIA PANZEROTTI,RM,Roma,Via Gabriello Chiabrera,166/A,12.4793762,41.8542127,00145,DOMENICA,,
NUOVA TURISTICA ROMANA SRL,RISTORANTE LA GROTTA ROMANA,RM,Roma,Via Palestro,93,12.5069418,41.9027291,00185,MAI,,
OASI DUE SRL,PIZZA RUSTICA,RM,Roma,Circonvallazione Ostiense,149,12.4858684,41.8674609,00154,MAI,,
OASI DUE SRL,RISTORANTE DA LUIGI  ORTO DI ROMA,RM,Roma,Via Di Grotta Perfetta,551,12.514968,41.8323737,00142,MAI,,
OBELISCO 15 SRL,PIER,RM,Roma,Piazza Guglielmo Marconi,6,12.4705265,41.8335959,00144,MAI,,
ODEON BAR SNC DI SANNA STEFANO E C.,ODEON BAR,RM,Roma,Via R Bianchi Bandinelli,33,12.5867116,41.817653,00178,DOMENICA,,
OPERA 12 SRL,BAR TRATTORIA IL GROTTINO,RM,Roma,Piazza Di San Bernardo,108,,,00187,MAI,,
OPERE E CAFFE' SRL,OPERE E CAFFE',RM,Roma,Via Della Lungaretta,18,12.4759117,41.8893139,00153,MAI,,
OPERE E CAFFE' SRL,BRUCIA PADELLE,RM,Roma,Piazza Ippolito Nievo,13/14,12.467085707648954,41.87970385,00153,MAI,,
OPERE E CAFFE' SRL,BAR BELLI DAL1938,RM,Roma,Piazza G Gioacchino Belli,4,,,00153,MAI,,
ORIOLO SRL,CONAD,RM,Roma,Corso Francia,124,12.4695182,41.9466939,00191,MAI,,
ORTOPOINT SRL,ORTOPOINT SIGMA,RM,Roma,Via Diego Angeli,112,12.5512584,41.9074896,00159,DOMENICA,,
OSTERIA DEL CURATO DI VISCUSO ANGELO,OMAR BAR,RM,Roma,Via Firenze,28,12.4944882,41.9016626,00184,MAI,,
OTHERSIDE SRL,HAM HOLY BURGER FAST FOOD,RM,Roma,Via Ponte Di Piscina Cupa,SNC,,,00128,MAI,,
OTTO ROMA SRLS,OTTO BAR PIZZERIA,RM,Roma,Via Giuseppe Donati,89/95,12.5501801,41.9073836,00159,MAI,,
OUALLI BOUALEM,PIZZERIA AL BARAKA,RM,Roma,Via San Martino Ai Monti,29,,,00184,MAI,,
P.P. E P. SRLS,RISTORANTE PIZZERIA,RM,Roma,Via Attilio Benigni,34,12.5606632,41.9307686,00156,MAI,,
PAAAST SRL,SERENELLA PIZZA E...,RM,Roma,Via Salaria,70,12.4985167,41.9195328,00198,MAI,,
PADDOCK 2014 SRL,PADDOCK RISTO CAFFE',RM,Roma,Via Portuense,1585A/B,12.4131849,41.845908,00148,SABATO E DOMENICA,,
PALLANTUCCI MASSIMILIANO,PALLANTUCCI BAR,RM,Roma,Via Terni,76/78/80,12.5194364,41.8851397,00182,DOMENICA,,
PALOMBINI EUR SRL,PALOMBINI EUR BAR,RM,Roma,Piazzale Konrad Adenauer,12,12.4676187,41.8364354,00144,MAI,,
PAM FRANCHISING SPA,META',RM,Roma,Via Scribonio Curione,29/35,12.5545008,41.8644337,00175,MAI,,
PANAPESCA SPA,CRIOS,RM,Roma,Viale Repubbliche Marinare,66,12.267615,41.7337767,00121,MAI,,
PANAPESCA SPA,CRIOS,RM,Roma,Via Dei Georgofili,108/118,12.4940063,41.8517908,00147,MAI,,
PANAPESCA SPA,CRIOS,RM,Roma,Via Roberto Malatesta,120,12.5371934,41.8874287,00176,MAI,,
PANCHO SRL,PANCHO CAFFE',RM,Roma,Via Baldassarre Castiglione,78/80,12.4857163,41.8436451,00142,DOMENICA,,
PANDOLFI MAURO,BAR DELLE GRAZIE,RM,Roma,Via Grazie,41974,,,00193,DOMENICA,,
PANTAREI  SRL,TELE BAR FAUSTO,RM,Roma,Via Teulada,47/49/51,12.4551811,41.9194397,00195,SABATO E DOMENICA,,
PAOLUCCI ALESSANDRO,RIO BAR,RM,Roma,Via Gaeta,48,12.6557998,41.4780966,00185,SABATO E DOMENICA,,
PAPERO GIALLO SNC DI R.BERARDI E C.,PAPERO GIALLO,RM,Roma,Via Taranto,64/66,12.517281,41.8840145,00182,MAI,,
PAPILI STEFANO,TRATTORIA DALLA PADELLE ALLA BRATE,RM,Roma,Via Di Ponte Galeria,303,12.3349214,41.8427831,00148,MAI,,
PARIS BAR SRLS,PARIS BAR,RM,Roma,Corso Trieste,132,12.5076679,41.9151535,00198,DOMENICA,,
PAS SRL,VIVO SUPERMERCATI,RM,Roma,Via Della Bufalotta,164,12.5411868,41.9496855,00139,MAI,,
PAS SRL,VIVO SUPERMERCATI,RM,Roma,Via Leopoldo Traversi,36,12.4931446,41.8679018,00154,MAI,,
PASTA IMPERIALE MONTI SRL,PASTA IMPERIALE,RM,Roma,Via Del Boschetto,112,12.4912643,41.8953691,00184,MAI,,
PASTATION ROMA SRL,PASTATION,RM,Roma,Piazza In Campo Marzio,6,12.476224235164928,41.901525899999996,00186,MAI,,
PASTIFICIO RANA SPA,DA GIOVANNI RISTORANTE,RM,Roma,Viale Oceano Pacifico,SNC,12.4972305,41.6298767,00144,MAI,,
PASTITALY SRLS UNINOMINALE,PIZZERIA,RM,Roma,Via Appia Nuova,224,12.5100799,41.8852976,00183,MAI,,
PAZZAMENTE PIZZA DI BOTTONI EMILIANO E CLAUDIO SNC,PAZZAMENTE PIZZA,RM,Roma,Viale Della Grande Muraglia,166/168,12.4556417,41.8227544,00144,DOMENICA,,
PAZZAMENTE PIZZA DI BOTTONI SERGIO,PAZZAMENTE PIZZA DA SERGIO,RM,Roma,Via Alberto Ascari,198,12.5037643,41.8347244,00142,MAI,,
PENTA SUPERMERCATI SRL,CONAD SUPERSTORE MARKET,RM,Roma,Via Del Trullo,100,12.4365771,41.8347459,00148,MAI,,
PEONIA SRLS,BAR MIRAGE,RM,Roma,Via Alessio Baldovinetti,98,12.4945979,41.8317502,00142,MAI,,
PERGEGA SRL,CAPPUCCINO E CORNETTO,RM,Roma,Via Tripolitania,22,12.5235371,41.9302882,00199,DOMENICA,,
PERL FOOD E DRINK SRL,GRAN CAFFE' MAZZINI,RM,Roma,Piazza Giuseppe Mazzini,10,12.4641659,41.9157197,00195,MAI,,
PETITTA EDMONDO,BAR CUBA,RM,Roma,Via Ignazio Giorgi,64,12.5226236,41.918752,00162,DOMENICA,,
PETROCCO LUIGI,CHAMONIX BAR,RM,Roma,Viale Regina Margherita,109,12.5016274,41.9172117,00198,DOMENICA,,
PEWEX AL.PA. SRL,PEWEX SUPERMERCATO,RM,Roma,Viale Paolo Ferdinando Quaglia,120,12.6424248,41.8692573,00133,MAI,,
PEWEX AL.PA. SRL,PEWEX SUPERMERCATO,RM,Roma,Via Di Tor Bella Monaca,469/475,12.6385329,41.8668637,00133,MAI,,
PG ROMA SRL,PANINO GIUSTO,RM,Roma,Piazza Cavour,17/BCD 18,,,00193,MAI,,
PG ROMA SRL,PANINO GIUSTO,RM,Roma,Viale Dell'Oceano Pacifico,83,12.45950934721992,41.817101550000004,00144,MAI,C.C EUROMA 2,
PI NO SRLS,CENTOTRENTAGRAMMI,RM,Roma,Via Cornelio Magni,34,12.4974888,41.8653681,00147,DOMENICA,,
PIAZZA DI SPAGNA SRL,LA BARCACCIA,RM,Roma,Piazza Di Spagna,65,12.4821294,41.9057477,00187,MAI,,
PIAZZA TRILUSSA 43 SRL,PIZZERIA LUIGI,RM,Roma,Via La Spezia,56,12.5144548,41.8861993,00182,MAI,,
PINTA SRL,GASTRONOMIA,RM,Roma,Via Flavia,48/50,12.075345,41.9528497,00187,MAI,,
PINTO FABIANA MARILIA BUONAFINA,MR. KEBAB TURCO ISTANBUL,RM,Roma,Viale Di Trastevere,51,12.4720747,41.886744,00153,MAI,,
PIU BIO 153 SRL,PIU BIO,RM,Roma,Via Tuscolana,1241,12.6002843,41.8370236,00173,MAI,,
PIU BIO 7 SRL,PIU BIO,RM,Roma,Viale Dei Consoli,165,12.5518017,41.8641693,00175,MAI,,
PIU' BIO 72 SRL,PIU' BIO,RM,Roma,Via Dei Ruderi Di Torrenova,23,12.6052531,41.8683966,00133,MAI,,
PIZZA APOLLINARE SRL,PIZZA CIRO,RM,Roma,Via Della Mercede,43/45,12.4821672,41.903293,00187,MAI,,
PIZZA BOOM A.M.N. DI A. MESSALI,PIZZA BOOM ROSTICCERIA FRIGGITORIA,RM,Roma,Viale Di Trastevere,271A/273,,,00153,MAI,,
PIZZA E CACIO DI ATAA SALAMA,PIZZA E CACIO,RM,Roma,Via Andrea Meldola,170/174,12.507107,41.823513,00143,MAI,,
PIZZA SPRINT SRL,SFIZI DI PIZZA,RM,Roma,Via Genova,15,12.4920503,41.8992199,00184,DOMENICA,,
PIZZANDO GRIGLIANDO 97 S.I.R. SRL,PIZZANDO GRIGLIANDO,RM,Roma,Piazzale Jonio,39/C,12.5257838,41.9459476,00141,MAI,,
PIZZERIA M. M. 2 SRL,PIZZERIA M. M. 2,RM,Roma,Via Della Lega Lombarda,16,12.5253453,41.9085614,00162,DOMENICA,,
PIZZERIA ROSTICCERIA RICCI CURZIO,PIZZIAMOCI,RM,Roma,Via Benedetto Croce,129,12.4840372,41.8414371,00142,DOMENICA,,
PLUTO'S PIZZA SNC DI D'AMICO E ZAPPATA,PLUTO'S PIZZA,RM,Roma,Piazza Ragusa,37,12.5234088,41.8812427,00182,MAI,,
PONTE PIZZA 1 SRLS,PONTE PIZZA,RM,Roma,Viale Antonio Ciamarra,183,12.5902893,41.8559673,00173,MAI,,
POTITO' TERESA,GRAN CAFFE' SALANDRA,RM,Roma,Via Antonio Salandra,36/38,12.4951701,41.90592,00187,DOMENICA,,
PRATI 2013 SRLS,PRATI BAR ALIMENTARI,RM,Roma,Viale Giulio Cesare,22/26,12.4568508,41.9090795,00192,SABATO E DOMENICA,,
PRIMOPIANO SRL,HAM HOLY BURGER RISTORANTE,RM,Roma,Piazza Dei Cinquecento,SNC,12.4999429,41.900755,00185,MAI,,
PRO.FOOD E CO. SRL,ANGOLO SCIARRA,RM,Roma,Via Marco Minghetti,8,12.4821649,41.9000287,00187,MAI,,
PRODOTTI DI ECCELLENZA SRL,DON NINO,RM,Roma,Viale Eritrea,103/109,12.5158881,41.9269385,00199,MAI,,
PULCINELLI ALESSANDRO,BAR,RM,Roma,Vicolo Cinque,5,12.4696954,41.8910307,00153,MAI,,
PUNTO EAT SRL,CARREFOUR ECPRESS,RM,Roma,Via Del Governo Vecchio,119,12.4700606,41.8984445,00186,MAI,,
QUADRANI GIOVANNI,BAR QUADRANI,RM,Roma,Viale Trastevere,110,12.3944992,41.7826788,00153,DOMENICA,,
